,0,1,2,3,4,5,6
0,detoxis21_aggressiveness,haha21,mexa3t18_aggress,metwo22,haha18,,
1,davincis22,meoffendes21,mexa3t18_aggress,haha18,,,
2,detoxis21_aggressiveness,haha21,meoffendes21,misogyny_centrogeo,,,
3,detoxis21_aggressiveness,exist21,haha21,metwo22,,,
4,davincis22,detoxis21_aggressiveness,exist21,haha21,meoffendes21,mexa3t18_aggress,metwo22
5,davincis22,detoxis21_aggressiveness,exist21,haha21,meoffendes21,,
6,davincis22,exist21,haha21,mexa3t18_aggress,metwo22,haha18,
7,davincis22,meoffendes21,mexa3t18_aggress,misogyny_centrogeo,haha18,,
8,davincis22,exist21,haha21,mexa3t18_aggress,misogyny_centrogeo,haha18,
9,davincis22,exist21,meoffendes21,,,,
10,detoxis21_aggressiveness,haha21,mexa3t18_aggress,,,,
11,davincis22,detoxis21_aggressiveness,meoffendes21,mexa3t18_aggress,misogyny_centrogeo,metwo22,
12,exist21,haha21,mexa3t18_aggress,misogyny_centrogeo,,,
13,meoffendes21,metwo22,haha18,,,,
14,davincis22,exist21,mexa3t18_aggress,misogyny_centrogeo,metwo22,,
15,davincis22,detoxis21_aggressiveness,exist21,misogyny_centrogeo,metwo22,,
16,haha21,mexa3t18_aggress,misogyny_centrogeo,metwo22,,,
17,davincis22,exist21,metwo22,,,,
18,detoxis21_aggressiveness,haha21,meoffendes21,haha18,,,
19,detoxis21_aggressiveness,meoffendes21,mexa3t18_aggress,misogyny_centrogeo,haha18,,
20,davincis22,haha21,misogyny_centrogeo,metwo22,,,
21,davincis22,detoxis21_aggressiveness,haha21,mexa3t18_aggress,metwo22,haha18,
22,davincis22,detoxis21_aggressiveness,exist21,mexa3t18_aggress,misogyny_centrogeo,haha18,
23,detoxis21_aggressiveness,exist21,misogyny_centrogeo,metwo22,haha18,,
24,davincis22,exist21,meoffendes21,misogyny_centrogeo,metwo22,haha18,
25,mexa3t18_aggress,misogyny_centrogeo,haha18,,,,
26,davincis22,detoxis21_aggressiveness,exist21,mexa3t18_aggress,,,
27,davincis22,detoxis21_aggressiveness,mexa3t18_aggress,misogyny_centrogeo,,,
28,davincis22,detoxis21_aggressiveness,exist21,haha21,,,
29,detoxis21_aggressiveness,haha21,meoffendes21,,,,
30,mexa3t18_aggress,metwo22,haha18,,,,
31,davincis22,detoxis21_aggressiveness,exist21,haha21,meoffendes21,mexa3t18_aggress,misogyny_centrogeo
32,detoxis21_aggressiveness,exist21,mexa3t18_aggress,misogyny_centrogeo,haha18,,
33,exist21,haha21,meoffendes21,mexa3t18_aggress,metwo22,haha18,
34,davincis22,meoffendes21,mexa3t18_aggress,metwo22,haha18,,
35,davincis22,detoxis21_aggressiveness,haha21,metwo22,haha18,,
36,exist21,mexa3t18_aggress,metwo22,,,,
37,exist21,haha21,meoffendes21,mexa3t18_aggress,,,
38,davincis22,exist21,haha21,meoffendes21,mexa3t18_aggress,misogyny_centrogeo,metwo22
39,davincis22,detoxis21_aggressiveness,haha21,meoffendes21,metwo22,haha18,
40,exist21,metwo22,haha18,,,,
41,davincis22,exist21,meoffendes21,misogyny_centrogeo,,,
42,exist21,mexa3t18_aggress,metwo22,haha18,,,
43,davincis22,detoxis21_aggressiveness,haha21,meoffendes21,mexa3t18_aggress,misogyny_centrogeo,metwo22
44,exist21,haha21,mexa3t18_aggress,metwo22,,,
45,exist21,mexa3t18_aggress,haha18,,,,
46,detoxis21_aggressiveness,exist21,meoffendes21,misogyny_centrogeo,,,
47,detoxis21_aggressiveness,misogyny_centrogeo,metwo22,haha18,,,
48,davincis22,detoxis21_aggressiveness,meoffendes21,metwo22,haha18,,
49,detoxis21_aggressiveness,exist21,haha21,meoffendes21,,,
50,,,,,,,
